"REF_DATE","GEO","DGUID","Index","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1984-12","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","54.8","","","","1"
"1985-01","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","54.8","","","","1"
"1985-02","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","54.8","","","","1"
"1985-03","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","54.8","","","","1"
"1985-04","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","54.8","","","","1"
"1985-05","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-06","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-07","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-08","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-09","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-10","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-11","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1985-12","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.1","","","","1"
"1986-01","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.0","","","","1"
"1986-02","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.0","","","","1"
"1986-03","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.0","","","","1"
"1986-04","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","56.0","","","","1"
"1986-05","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-06","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-07","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-08","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-09","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-10","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-11","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1986-12","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1987-01","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1987-02","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1987-03","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1987-04","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","59.1","","","","1"
"1987-05","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-06","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-07","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-08","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-09","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-10","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-11","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1987-12","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1988-01","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1988-02","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1988-03","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1988-04","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","61.8","","","","1"
"1988-05","Quebec","2016A000224","Electric power selling price under 5000kw","Index, 2014=100","351","units ","0","v107792889","7.3","64.0","","","","1"
